#1
double	presence(35040, 2)
1525828500	0
1525829400	0
1525830300	0
1525831200	0
1525832100	0
1525833000	0
1525833900	0
1525834800	0
1525835700	0
1525836600	0
1525837500	0
1525838400	0
1525839300	0
1525840200	0
1525841100	0
1525842000	0
1525842900	0
1525843800	0
1525844700	0
1525845600	0
1525846500	0
1525847400	0
1525848300	0
1525849200	0
1525850100	0
1525851000	0
1525851900	0
1525852800	0
1525853700	0
1525854600	0
1525855500	0
1525856400	0
1525857300	0
1525858200	0
1525859100	0
1525860000	0
1525860900	0
1525861800	0
1525862700	0
1525863600	0
1525864500	0
1525865400	0
1525866300	0
1525867200	0
1525868100	0
1525869000	0
1525869900	0
1525870800	0
1525871700	0
1525872600	0
1525873500	0
1525874400	0
1525875300	0
1525876200	0
1525877100	0
1525878000	1
1525878900	1
1525879800	1
1525880700	1
1525881600	1
1525882500	1
1525883400	1
1525884300	1
1525885200	1
1525886100	1
1525887000	1
1525887900	1
1525888800	1
1525889700	1
1525890600	1
1525891500	1
1525892400	1
1525893300	1
1525894200	1
1525895100	1
1525896000	1
1525896900	1
1525897800	1
1525898700	1
1525899600	0
1525900500	0
1525901400	0
1525902300	0
1525903200	0
1525904100	0
1525905000	0
1525905900	0
1525906800	0
1525907700	0
1525908600	0
1525909500	0
1525910400	0
1525911300	0
1525912200	0
1525913100	0
1525914000	0
1525914900	0
1525915800	0
1525916700	0
1525917600	0
1525918500	0
1525919400	0
1525920300	0
1525921200	0
1525922100	0
1525923000	0
1525923900	0
1525924800	0
1525925700	0
1525926600	0
1525927500	0
1525928400	0
1525929300	0
1525930200	0
1525931100	0
1525932000	0
1525932900	0
1525933800	0
1525934700	0
1525935600	0
1525936500	0
1525937400	0
1525938300	0
1525939200	0
1525940100	0
1525941000	0
1525941900	0
1525942800	0
1525943700	0
1525944600	0
1525945500	0
1525946400	0
1525947300	0
1525948200	0
1525949100	0
1525950000	0
1525950900	0
1525951800	0
1525952700	0
1525953600	0
1525954500	0
1525955400	0
1525956300	0
1525957200	0
1525958100	0
1525959000	0
1525959900	0
1525960800	0
1525961700	0
1525962600	0
1525963500	0
1525964400	1
1525965300	1
1525966200	1
1525967100	1
1525968000	1
1525968900	1
1525969800	1
1525970700	1
1525971600	1
1525972500	1
1525973400	1
1525974300	1
1525975200	1
1525976100	1
1525977000	1
1525977900	1
1525978800	1
1525979700	1
1525980600	1
1525981500	1
1525982400	1
1525983300	1
1525984200	1
1525985100	1
1525986000	0
1525986900	0
1525987800	0
1525988700	0
1525989600	0
1525990500	0
1525991400	0
1525992300	0
1525993200	0
1525994100	0
1525995000	0
1525995900	0
1525996800	0
1525997700	0
1525998600	0
1525999500	0
1526000400	0
1526001300	0
1526002200	0
1526003100	0
1526004000	0
1526004900	0
1526005800	0
1526006700	0
1526007600	0
1526008500	0
1526009400	0
1526010300	0
1526011200	0
1526012100	0
1526013000	0
1526013900	0
1526014800	0
1526015700	0
1526016600	0
1526017500	0
1526018400	0
1526019300	0
1526020200	0
1526021100	0
1526022000	0
1526022900	0
1526023800	0
1526024700	0
1526025600	0
1526026500	0
1526027400	0
1526028300	0
1526029200	0
1526030100	0
1526031000	0
1526031900	0
1526032800	0
1526033700	0
1526034600	0
1526035500	0
1526036400	0
1526037300	0
1526038200	0
1526039100	0
1526040000	0
1526040900	0
1526041800	0
1526042700	0
1526043600	0
1526044500	0
1526045400	0
1526046300	0
1526047200	0
1526048100	0
1526049000	0
1526049900	0
1526050800	1
1526051700	1
1526052600	1
1526053500	1
1526054400	1
1526055300	1
1526056200	1
1526057100	1
1526058000	1
1526058900	1
1526059800	1
1526060700	1
1526061600	1
1526062500	1
1526063400	1
1526064300	1
1526065200	1
1526066100	1
1526067000	1
1526067900	1
1526068800	1
1526069700	1
1526070600	1
1526071500	1
1526072400	0
1526073300	0
1526074200	0
1526075100	0
1526076000	0
1526076900	0
1526077800	0
1526078700	0
1526079600	0
1526080500	0
1526081400	0
1526082300	0
1526083200	0
1526084100	0
1526085000	0
1526085900	0
1526086800	0
1526087700	0
1526088600	0
1526089500	0
1526090400	0
1526091300	0
1526092200	0
1526093100	0
1526094000	0
1526094900	0
1526095800	0
1526096700	0
1526097600	0
1526098500	0
1526099400	0
1526100300	0
1526101200	0
1526102100	0
1526103000	0
1526103900	0
1526104800	0
1526105700	0
1526106600	0
1526107500	0
1526108400	0
1526109300	0
1526110200	0
1526111100	0
1526112000	0
1526112900	0
1526113800	0
1526114700	0
1526115600	0
1526116500	0
1526117400	0
1526118300	0
1526119200	0
1526120100	0
1526121000	0
1526121900	0
1526122800	0
1526123700	0
1526124600	0
1526125500	0
1526126400	0
1526127300	0
1526128200	0
1526129100	0
1526130000	0
1526130900	0
1526131800	0
1526132700	0
1526133600	0
1526134500	0
1526135400	0
1526136300	0
1526137200	1
1526138100	1
1526139000	1
1526139900	1
1526140800	1
1526141700	1
1526142600	1
1526143500	1
1526144400	1
1526145300	1
1526146200	1
1526147100	1
1526148000	1
1526148900	1
1526149800	1
1526150700	1
1526151600	1
1526152500	1
1526153400	1
1526154300	1
1526155200	1
1526156100	1
1526157000	1
1526157900	1
1526158800	0
1526159700	0
1526160600	0
1526161500	0
1526162400	0
1526163300	0
1526164200	0
1526165100	0
1526166000	0
1526166900	0
1526167800	0
1526168700	0
1526169600	0
